"SITE_ID","slope","slope.u","slope.l","intpt","pvalue"
"CA-Cbo",0.185291782150992,0.298455130523175,0.0747827200372875,29.0395834779384,0.0044115825983303
"CA-Gro",0.297432821919125,0.484973282453375,0.19153880972245,32.5004895115817,0.00235752759579549
"CA-Oas",0.101316286577268,0.184568770368578,0.0195470504369651,32.0254344784953,0.0228215036714881
"US-Dk2",0.160030276832233,0.291440230175963,-0.0203478531947372,35.7205336600196,0.0634865305607675
"US-Ha1",0.0742353272857719,0.0991197013431732,0.0330849744652555,30.3521943403427,0.00114847115057061
"US-MMS",0.0111523655908667,0.132871069114818,-0.0901155865355649,32.1007059536037,0.836819705051275
"US-Oho",0.0257101031344068,0.0657068540981598,-0.0453005214661992,31.6154405180924,0.591505036994917
"US-Slt",-0.02709634824012,0.0274825966977632,-0.073119686773983,18.601130456596,0.371093369522698
"US-Syv",0.0495455897194039,0.1382037812494,-0.0388357185989807,29.6280420626449,0.296916229862647
"US-Ton",-0.0534196584188849,0.184964984724437,-0.213515186278601,14.4189624572628,0.669334014464053
"US-UMB",0.0968512533941393,0.401431444799151,-0.132182045248206,32.9766474564932,0.276278415808018
"US-UMd",-0.159448176234396,-0.0582832371705493,-0.222047762136768,32.8937960710087,0.00937476845943489
"US-WCr",0.00638173744297777,0.0336243458655801,-0.0117313977545503,28.2779833864566,0.482265581906393
"BR-Sa1",0.111451350504247,0.37567292104323,-0.129713225526051,55.98703486944,0.415174369549489
"CA-Ca1",0.0285253393939566,0.0985832352727254,-0.00981205782854531,42.0060427401245,0.200128117678602
"CA-Ca2",0.0371361121758538,0.089131530757585,0.011379230277698,2.16521948320535,0.0318231273864902
"CA-Ca3",0.286652095225175,0.3235913892201,0.26431419926077,11.6187875360614,0.000263260802703515
"CA-Man",0.104689376504911,0.167228820317,-0.0178905672855496,21.9763302299419,0.0924595951108613
"CA-Obs",0.0343513919382064,0.132145914646232,-0.0359476305225407,15.5088391900838,0.303673214899419
"CA-Ojp",-0.0452859575346511,0.0334519533480488,-0.131116539933778,21.4434645531281,0.161124949289052
"CA-Qfo",0.423475329748983,0.694695009374076,-0.0741041089545007,19.0772424463352,0.0715054164448745
"CA-TP1",0.632963706363573,0.976303150971845,0.193369801235638,6.52153101252218,0.0241705471745452
"CA-TP3",0.153854006127956,0.228353640888724,0.0547814846395251,19.1156511982173,0.0187411367895967
"CA-TP4",0.0985123334713629,0.162264729600579,0.0544896406117136,27.5766456180441,0.00319196635354878
"US-Blo",0.0947276411248366,0.208575543527048,-0.0191202612773749,7.89107908660428,0.25965635637045
"US-Dk3",0.219743425924065,0.262158404369134,0.114883193916962,21.3762489877988,0.00443400830310065
"US-GLE",0.0686523602134888,0.136410108514326,0.0293360074057599,20.194777683852,0.010279478485213
"US-Ha2",-0.0149170715044561,0.12786043157455,-0.283236042832474,29.936619227051,1
"US-Ho2",0.0813390867814283,0.251047815125084,-0.108993094494334,25.992556049359,0.371093369522698
"US-Me2",0.281429104723359,0.489425066541613,0.0150957406315246,24.3984189608089,0.044083783741321
"US-Me3",0.309051924802739,0.444745224797781,0.185365304946846,7.87091609949395,0.00853492041422708
"US-Me6",0.325816329744887,2.01320999073008,-1.74120245756455,7.9328917796967,0.462432726450476
"US-MRf",0.467280541494611,0.866373478531294,-0.201711732717001,38.4781888816466,0.0864107329737
"US-NC2",0.294175077354501,1.17082465552268,-0.273740079549501,20.1338211327774,0.25965635637045
"US-NR1",0.0538733659635778,0.160432574673479,-0.0707503346720215,15.8734033721374,0.483755786496452
