"case","site","crop","incpt","incpt.025","incpt.975","slope","slope.025","slope.975","rng.l","rng.u","rsqur","n","crop2"
"CA-ER1_hay","CA-ER1","hay",0.00719019658022163,-0.0129559013756398,0.0258326452220948,0.660559501926881,0.611257158411183,0.713838438669655,0,1.3595,0.90959045646754,62,"other"
"CA-ER2_corn","CA-ER2","corn",-0.00450110329349362,-0.150981620587178,0.12855459831647,0.89440771505905,0.81243600344438,0.984650061501018,0,3.0235,0.858603235975704,63,"corn"
"US-Br1_corn","US-Br1","corn",-0.027983455821236,-0.154334655970707,0.0865889641728479,0.935706090500586,0.848477189492721,1.03190268240841,0,3.059,0.923409922974533,35,"corn"
"US-Br1_soybean","US-Br1","soybean",-0.0718596910493618,-0.135086954596171,-0.0183256883474782,0.739437433556193,0.626075577927945,0.873325421754586,0,1.1858,0.777155861225709,35,"soybean"
"US-Br3_corn","US-Br3","corn",0.25336066340096,-0.0489261391368003,0.493814377858891,0.88566315626642,0.704499812413056,1.11341296696882,0,3.0178,0.602832627623869,33,"corn"
"US-Br3_soybean","US-Br3","soybean",0.0318289465072941,-0.0198222363469289,0.0761983937580878,0.686705462513304,0.589894366636461,0.799404806888459,0,1.026,0.772120474252809,42,"soybean"
"US-CRT_soybean","US-CRT","soybean",0.128749928714546,-0.00942364450563005,0.240334759092145,1.16873481244176,0.943835154316364,1.44722418482351,0,1.125,0.894688936300442,13,"soybean"
"US-CRT_wheat","US-CRT","wheat",0.11282702865267,0.0017436474125273,0.197347147587683,1.00764206437569,0.766685584955697,1.32432714247259,0,1.14,0.826141411195554,13,"other"
"US-IB1_corn","US-IB1","corn",0.0218806311604876,-0.255540243405398,0.263090538028525,1.03479237878385,0.899723835507301,1.19013771218519,0.23,2.88,0.960337161547593,12,"corn"
"US-IB1_soybean","US-IB1","soybean",-0.433732786879451,-1.22722807218129,-0.00822329256119098,1.11441476476438,0.597601613770541,2.07817422059657,0.32,1.49,0.11116487077888,12,"soybean"
"US-IB2_prairie","US-IB2","prairie",-0.207207763498478,-0.387203594901091,-0.0511264109064381,0.994443442593469,0.862320401460252,1.14681011703135,0.33,2.68,0.783677251171539,45,"grass"
"US-KL1_corn","US-KL1","corn",1.0222433764644,0.738233129638687,1.24381209798866,0.844077871914657,0.65850178659861,1.08195219565936,0.01,2.86,0.873265286026657,12,"corn"
"US-KL2_switchgrass","US-KL2","switchgras",0.107316303315085,-0.539633271922406,0.492799260757707,1.21797143328437,0.725724613097916,2.04410100680523,0.1,1.18,0.334875268404688,13,"other"
"US-KL3_prairie","US-KL3","prairie",0.12210769343503,-0.277660723152468,0.406102523627543,0.974063876711032,0.69197338705386,1.37115162759789,0.1,1.6,0.724011417022254,13,"grass"
"US-KM1_corn","US-KM1","corn",0.352963180372793,0.19688241168396,0.48366233517653,0.727039619287057,0.60880955769183,0.868229812319457,0.01,2.74,0.935886850405913,12,"corn"
"US-KM2_prairie","US-KM2","prairie",-0.0316146241617925,-0.278277874605996,0.170310029105581,1.58399954820534,1.29670130824531,1.93495182950802,0.05,1.75,0.918242471339175,12,"grass"
"US-KM3_switchgrass","US-KM3","switchgras",0.14302824810177,-0.0130987579934663,0.277706595827391,1.00096669669728,0.863454338945891,1.16037905272471,0.05,1.72,0.950048112694578,13,"other"
"US-KM4_prairie","US-KM4","prairie",0.281834945779861,-0.196938465192611,0.57441381853835,1.01454745773863,0.619990886591287,1.66019624846914,0.1,1,0.403250714995488,13,"grass"
"US-Ne1_corn","US-Ne1","corn",-0.276212015052893,-0.367129739964404,-0.191485226199757,0.729685206652924,0.679998146604658,0.783002870620578,0,3.3,0.881215157298488,96,"corn"
"US-Ne2_corn","US-Ne2","corn",-0.129924474244542,-0.237156481723929,-0.0291166875907907,1.04131261743372,0.978928051853336,1.10767279083868,0,3.3,0.960589809859947,44,"corn"
"US-Ne2_soybean","US-Ne2","soybean",0.154120720599414,0.0647495909351454,0.228343070551393,0.796143966412091,0.661194239226675,0.958636929438034,0.1,1.1,0.785271673609329,28,"soybean"
"US-Ne3_corn","US-Ne3","corn",-0.251729315929242,-0.420919481411349,-0.0971350888507339,1.08705471910707,0.993275132827833,1.18968845919732,0,3,0.939174225631644,33,"corn"
"US-Ne3_soybean","US-Ne3","soybean",0.0638838124155411,-0.0152801096617909,0.130639141542082,0.794306328963037,0.669802342100043,0.94195332648822,0,1,0.674438699135496,47,"soybean"
"US-Ro1_corn","US-Ro1","corn",-0.168253837048272,-0.249944767213331,-0.0905983648290019,1.08239951832048,1.02892996266848,1.13864768231838,0.0740909090909091,2.73636363636364,0.980856254085936,33,"corn"
"US-Ro1_soybean","US-Ro1","soybean",0.115106026404838,0.0303108758684723,0.184163520112064,0.644124041946924,0.524577074184754,0.790914818492274,0.120652173913043,1.04697674418605,0.8809432450745,15,"soybean"
"US-Ro3_corn","US-Ro3","corn",-0.26060334220633,-0.536444454920051,-0.0285895205126805,1.13172157601698,0.951906861749689,1.34550319688646,0.0915,2.62828947368421,0.923562881383701,14,"corn"
"US-Ro3_soybean","US-Ro3","soybean",0.228933169123383,0.0501550460526781,0.341082125626937,0.65070497873658,0.40819247402051,1.03729734451522,0.108461538461538,0.739777777777778,0.107562570877515,19,"soybean"
"US-Shd_grass","US-Shd","grass",-0.0854029291089449,-0.163145874950171,-0.0213731016540117,0.925772822651809,0.762475276122449,1.1240434227838,0,0.62,0.666237284487731,38,"grass"
"US-Tw3_alfafa","US-Tw3","alfafa",0.146280815765052,0.0901414398610026,0.190336221497547,0.735543355978361,0.577218048110347,0.937295759020482,0.02,0.5965,0.569066926058056,32,"other"
"US-Twt_rice","US-Twt","rice",-0.0767775699850186,-0.162269573002959,-0.00373638897871986,0.815689467286277,0.69689467928931,0.954734376391408,0.1095,0.934,0.690407355729301,52,"other"
"US-Var_grass","US-Var","grass",0.418482415533458,0.312357961907849,0.486883881291272,0.709276922389006,0.457157417184498,1.10043878481051,0.04,0.5865625,0.00146293740067929,23,"grass"
