"SITE_ID","YEAR","IGBP","EC_HEIGHT","HEIGHTC","HEIGHTC_UPPER","HEIGHTC_LOWER","WD","N.sample","ha.mdl.q025","ha.mdl.q250","ha.mdl.q500","ha.mdl.q750","ha.mdl.q975"
"CA-Cbo",1996.5,"MF",33,21,NA,NA,157.5,1630,17.342050285112,18.4938507897417,19.2217111921115,19.902719780948,21.2306822374283
"CA-Cbo",1997.5,"MF",33,NA,NA,NA,180,1823,18.7533881034359,19.8636335817994,20.5183992012559,21.1840624983165,22.5744314420035
"CA-Cbo",1998.5,"MF",33,NA,NA,NA,180,1818,20.0302718279122,21.1041625455046,21.7945771529113,22.5224553661002,23.9212535648823
"CA-Cbo",1999.5,"MF",33,NA,NA,NA,202.5,1994,21.7282289960939,22.6423813280286,23.170270553675,23.7445175774726,24.8085976160234
"CA-Cbo",2000.5,"MF",33,NA,NA,NA,180,901,21.0592300557741,22.3316385225178,22.970444071163,23.5894740213251,24.8164250406495
"CA-Cbo",2001.5,"MF",33,NA,NA,NA,225,2450,21.6047347498656,22.8385776333793,23.5084578686554,24.1361616751752,25.4214450041385
"CA-Cbo",2002.5,"MF",33,NA,NA,NA,180,1922,22.0230640266351,23.2572753394877,23.9684004786098,24.7225734932577,26.1985943774212
"CA-Cbo",2005.5,"MF",33,NA,NA,NA,180,1804,24.2142097051036,25.3925742460294,26.0036022347015,26.6854566484881,28.0961331952147
"CA-Cbo",2006.5,"MF",33,NA,NA,NA,180,2265,24.075519877398,25.3321998594635,25.965807458541,26.6445273904206,28.0392238187684
"CA-Cbo",2007.5,"MF",33,NA,NA,NA,180,2622,23.995792125338,25.2545227384157,25.9338257074516,26.6471675452648,27.8184266834472
"CA-Cbo",2008.5,"MF",33,23,NA,NA,180,2428,23.8716104516965,25.0086131075902,25.6784309040964,26.396711596571,27.7521696149064
"CA-Cbo",2009.5,"MF",33,NA,NA,NA,180,2151,24.6798169768377,25.800572749837,26.4809489484364,27.1262489132044,28.4558388571234
"CA-Cbo",2010.5,"MF",33,NA,NA,NA,180,2409,24.7040662284179,25.9783481282753,26.6416818577074,27.3429137180439,28.6109960712391
"CA-Cbo",2011.5,"MF",33,NA,NA,NA,180,2471,25.0261950610584,26.2396879311713,26.8515647471565,27.5432743294106,28.8102960392721
"CA-Gro",2004.5,"MF",43.3,31.3,NA,NA,225,996,17.3912855437117,19.0865212917994,19.9641516230983,20.8463479029058,22.7703439894905
"CA-Gro",2005.5,"MF",43.3,NA,NA,NA,225,968,19.886295624101,21.2114785040462,22.0070939683625,22.8461315204549,24.5804567138405
"CA-Gro",2006.5,"MF",43.3,NA,NA,NA,225,1415,19.5474986336625,20.9758673065962,21.8130037866686,22.6771431267269,24.5159606015586
"CA-Gro",2007.5,"MF",43.3,NA,NA,NA,225,1329,19.629858560378,21.1593846147798,21.928444554448,22.6965409582054,24.4857094432743
"CA-Gro",2008.5,"MF",43.3,NA,NA,NA,225,1432,19.9600667828968,21.4358194409707,22.1738226928928,23.0126854236266,25.0221199198331
