"case","site","year","crop","incpt","incpt.025","incpt.975","slope","slope.025","slope.975","rng.l","rng.u","rsqur","n","crop2"
"CA-ER1_2012","CA-ER1",2012,"hay",-0.0849573553800479,-0.146985400423927,-0.0323567174260067,0.991219902564342,0.840568152530736,1.16887237790482,0.15,0.75,0.937725337517304,13,"other"
"CA-ER1_2013","CA-ER1",2013,"hay",-0.026823716319883,-0.0765886029590917,0.0178678102100595,0.677776422119647,0.608679432350284,0.754717268180903,0,1.3595,0.961678807322269,17,"other"
"CA-ER1_2014","CA-ER1",2014,"hay",0.0271914253057521,-0.0208987458509979,0.0633632462785405,0.590507243001612,0.444159830651613,0.785075056260265,0.005,0.395,0.400655891491837,32,"other"
"CA-ER2_2012","CA-ER2",2012,"corn",-0.0708154784248536,-0.523855599284098,0.225539414866439,0.853821868549784,0.558525121933866,1.30524439203321,0,2.29,0.61484487972244,12,"corn"
"CA-ER2_2013","CA-ER2",2013,"corn",-0.0389313249855094,-0.178871408289464,0.0891717891094341,0.848829140316436,0.777030094893451,0.927262552873371,0.07,2.676,0.949776405931188,29,"corn"
"CA-ER2_2014","CA-ER2",2014,"corn",0.219306812937449,-0.00755211370666342,0.417224845198085,0.887066973258733,0.773901880026917,1.01677982100139,0,3.0235,0.913857010173802,22,"corn"
"US-Br1_2010","US-Br1",2010,"soybean",0.00788571216207809,-0.0370263968901202,0.04480636400756,0.513804020643041,0.422380061041511,0.625016652012391,0,0.9135,0.941500712515336,10,"soybean"
"US-Br1_2011","US-Br1",2011,"corn",0.00856841446810419,-0.0845889564845413,0.0905486435271265,1.05385603501662,0.927413024459575,1.19753822002676,0,2.635,0.987571613256481,7,"corn"
"US-Br1_2012","US-Br1",2012,"soybean",-0.096738096943851,-0.406967101865702,0.0980956215606101,0.933986856411903,0.586573561407849,1.48716462067688,0,1.1858,0.767068435696615,8,"soybean"
"US-Br1_2013","US-Br1",2013,"corn",0.0785570682594294,-0.0857947425987255,0.222032363128122,0.812572754010713,0.709357048609405,0.930806963650999,0,2.6055,0.93869333693362,17,"corn"
