"case","site","year","crop","incpt","incpt.025","incpt.975","slope","slope.025","slope.975","rng.l","rng.u","rsqur","n","crop2"
"US-Br1_2014","US-Br1",2014,"soybean",-0.0408959387436983,-0.0914535993628324,0.00202642466054009,0.603689500141008,0.512519364841195,0.711077546686304,0.0425,0.9264,0.910704518281602,17,"soybean"
"US-Br1_2015","US-Br1",2015,"corn",-0.160348427347154,-0.573360260199738,0.170951018001671,1.03471129909855,0.829998688221282,1.28991465610217,0.094,3.059,0.913132852040566,11,"corn"
"US-Br3_2010","US-Br3",2010,"corn",0.188535114913981,-0.627103590928478,0.69910570445877,1.51405934433814,0.947765434017834,2.41871629403031,0,2.16,0.763535939155265,8,"corn"
"US-Br3_2011","US-Br3",2011,"soybean",0.0361007112166918,-0.0250120538036419,0.0857785763841818,0.468665061416345,0.38097244858759,0.576542846094781,0,1.026,0.934507599003543,10,"soybean"
"US-Br3_2012","US-Br3",2012,"corn",0.362942521770648,-0.0257657261442445,0.640798976986882,0.74890068752608,0.535329238474401,1.04767720398641,0.13,3.0178,0.882743700610878,8,"corn"
"US-Br3_2013","US-Br3",2013,"soybean",0.00999454992300752,-0.0342950922853238,0.0496042647732887,0.899880010506806,0.804792923094278,1.00620173223723,0.05,0.805,0.961885735165339,16,"soybean"
"US-Br3_2014","US-Br3",2014,"corn",0.236922183413029,-0.19894813004618,0.55495500455833,0.76390021493716,0.557379874077392,1.0469404539354,0,2.9,0.660983550808856,17,"corn"
"US-Br3_2015","US-Br3",2015,"soybean",0.0184959229562408,-0.0338572650652173,0.0634455403702709,0.73502914872649,0.631084376559344,0.856094477291793,0.063,0.738,0.92869914502671,16,"soybean"
"US-CRT_2011","US-CRT",2011,"soybean",0.0538428263346202,-0.00970134504618569,0.108605314831054,1.19304336109357,1.02816705164194,1.384359145896,0,1.125,0.98313822695594,7,"soybean"
"US-CRT_2012","US-CRT",2012,"soybean",0.202900779210407,0.0422588078477006,0.324353036805045,1.11001814531651,0.839221584347419,1.46819422416312,0,1.125,0.879242758414068,10,"soybean"
"US-CRT_2013","US-CRT",2013,"wheat",0.074927881183431,-0.151830598552837,0.23029253394742,1.05742192766474,0.724497671741902,1.54333295567103,0.18,1.14,0.812323350178707,9,"other"
"US-IB1_2006","US-IB1",2006,"corn",0.172889105639088,-0.372702695889192,0.581410327216767,0.998812127078417,0.747877715789916,1.33394222629726,0.23,2.7,0.974504570849299,5,"corn"
"US-IB1_2009","US-IB1",2009,"soybean",-0.143020600229973,-0.659296109105525,0.0694590329147844,0.388270154972493,0.159797431160926,0.943405110752657,0.58,1.68,0.698374230713853,5,"soybean"
"US-IB1_2010","US-IB1",2010,"corn",-0.0925975171991733,-0.808099219418364,0.441226864808903,1.05859324360799,0.789799496373304,1.41886600404061,0.5,2.88,0.973849862020668,5,"corn"
"US-IB2_2005","US-IB2",2005,"prairie",-0.526269705653351,-1.48961117633282,0.0299600256742805,1.29038901680349,0.74506575079601,2.23484143903827,0.64,1.44,0.666070290267922,8,"grass"
"US-IB2_2006","US-IB2",2006,"prairie",-0.295228264718828,-2.21624085175103,0.63821027826245,1.04651822001538,0.508513296106861,2.15373008573999,0.87,2.68,0.679391896100796,6,"grass"
"US-IB2_2007","US-IB2",2007,"prairie",-0.188140080339727,-0.495263384846226,0.0466604556973333,0.871777601658873,0.666487515506252,1.14030070942412,0.33,1.76,0.925995607627481,8,"grass"
"US-IB2_2009","US-IB2",2009,"prairie",0.188730838863666,-0.0824541335320964,0.380471871676362,0.640426086475447,0.452812551433671,0.905773417586761,0.6,1.7,0.962955611422137,5,"grass"
"US-IB2_2010","US-IB2",2010,"prairie",0.144111162108437,-1.53260686035009,0.64565984080943,0.666297813441955,0.19930649249131,2.22748777848714,0.44,1.22,0.313855068189064,5,"grass"
"US-IB2_2011","US-IB2",2011,"prairie",-0.16629428693607,-0.817471377930493,0.264494065588166,1.07969425958697,0.714275298916079,1.63205936976131,0.37,1.53,0.773851757658897,9,"grass"
"US-KL1_2013","US-KL1",2013,"corn",1.0222433764644,0.738233129638687,1.24381209798866,0.844077871914657,0.65850178659861,1.08195219565936,0.01,2.86,0.873265286026657,12,"corn"
"US-KL2_2013","US-KL2",2013,"switchgrass",0.107316303315085,-0.539633271922406,0.492799260757707,1.21797143328437,0.725724613097916,2.04410100680523,0.1,1.18,0.334875268404688,13,"grass"
"US-KL3_2013","US-KL3",2013,"prairie",0.12210769343503,-0.277660723152468,0.406102523627543,0.974063876711032,0.69197338705386,1.37115162759789,0.1,1.6,0.724011417022254,13,"grass"
"US-KM1_2013","US-KM1",2013,"corn",0.352963180372793,0.19688241168396,0.48366233517653,0.727039619287057,0.60880955769183,0.868229812319457,0.01,2.74,0.935886850405913,12,"corn"
"US-KM2_2013","US-KM2",2013,"prairie",-0.0316146241617925,-0.278277874605996,0.170310029105581,1.58399954820534,1.29670130824531,1.93495182950802,0.05,1.75,0.918242471339175,12,"grass"
"US-KM3_2013","US-KM3",2013,"switchgrass",0.14302824810177,-0.0130987579934663,0.277706595827391,1.00096669669728,0.863454338945891,1.16037905272471,0.05,1.72,0.950048112694578,13,"grass"
"US-KM4_2013","US-KM4",2013,"prairie",0.281834945779861,-0.196938465192611,0.57441381853835,1.01454745773863,0.619990886591287,1.66019624846914,0.1,1,0.403250714995488,13,"grass"
"US-Ne1_2002","US-Ne1",2002,"corn",-0.324295728237361,-0.804984239195432,0.0381747572785096,0.829039488518266,0.625149840415589,1.09942677593218,0.1,3.3,0.897569959223802,9,"corn"
"US-Ne1_2003","US-Ne1",2003,"corn",-0.338881188154287,-1.27858629112587,0.231248655727421,0.757278648314464,0.459449625391184,1.24816937374738,0.2,2.8,0.794798207362608,7,"corn"
"US-Ne1_2004","US-Ne1",2004,"corn",-0.0911802931340415,-0.686509489852846,0.315219626443727,0.654318207494589,0.446668613549743,0.958501008737773,0.3,3,0.884249020852225,7,"corn"
"US-Ne1_2005","US-Ne1",2005,"corn",-0.370574162929032,-0.897030462963751,0.014208848316148,0.778149231324587,0.568743510919046,1.06465606127545,0.2,2.8,0.898248920956771,8,"corn"
"US-Ne1_2006","US-Ne1",2006,"corn",-0.511033173768182,-0.871779516466488,-0.214989084419285,0.863053030327969,0.708258735243579,1.05167856899375,0.4,3,0.9603329052071,8,"corn"
"US-Ne1_2007","US-Ne1",2007,"corn",-0.3395834152511,-0.659411034461078,-0.081570543228217,0.785265141978522,0.633492864318003,0.97339903563145,0.3,3,0.953060325826357,8,"corn"
"US-Ne1_2008","US-Ne1",2008,"corn",-0.167259148755583,-0.493482924614315,0.0841340190402574,0.681097404362814,0.524864362229806,0.883835344162026,0.1,2.7,0.877865824350257,11,"corn"
"US-Ne1_2009","US-Ne1",2009,"corn",-0.247223855599961,-0.576320342347341,0.0142299050159225,0.680229449611055,0.54041460436192,0.856216875679173,0.2,3.2,0.918935731106529,10,"corn"
"US-Ne1_2010","US-Ne1",2010,"corn",-0.327289725005338,-0.82978185852898,0.0158610647837367,0.622817750431542,0.425320892998981,0.91202185605666,0.2,2.7,0.847012108769568,8,"corn"
"US-Ne1_2011","US-Ne1",2011,"corn",-0.117828175175651,-0.361762439505664,0.0762118403837326,0.677619015823108,0.539019004709263,0.851857776058832,0,2.7,0.933291105578902,9,"corn"
"US-Ne1_2012","US-Ne1",2012,"corn",-0.181170084248747,-0.429089436371211,0.00882526178141929,0.634407594419884,0.486184274821882,0.827819854940955,0,2.6,0.872495235767417,11,"corn"
"US-Ne2_2002","US-Ne2",2002,"soybean",0.00768916433138911,-0.238740444286702,0.179171015041446,0.972130144845843,0.676471781552643,1.39700878039428,0.1,1,0.959317948488147,5,"soybean"
"US-Ne2_2003","US-Ne2",2003,"corn",-0.116963338215785,-0.82106498069509,0.43561176505559,1.10042685734974,0.863608955947718,1.40218470412658,0.2,2.9,0.968926294762113,6,"corn"
"US-Ne2_2004","US-Ne2",2004,"soybean",0.34485846720385,-0.268896166055573,0.523742623422077,0.450836125319439,0.131400132072607,1.54682654185412,0.1,0.9,0.270078315856565,5,"soybean"
"US-Ne2_2005","US-Ne2",2005,"corn",-0.0712642775477019,-0.417764186953789,0.213639437991494,0.965471088687596,0.793842344386875,1.17420597387199,0.2,2.7,0.988506335582701,5,"corn"
"US-Ne2_2006","US-Ne2",2006,"soybean",0.163356119033958,0.00258010246577489,0.284539870241734,0.768909683756204,0.579560072494054,1.02012220964399,0.1,1.1,0.876526570309115,10,"soybean"
"US-Ne2_2007","US-Ne2",2007,"corn",-0.133658769005135,-0.385118983071596,0.0846306449184915,0.985001124721951,0.855066949767411,1.13467982357103,0.3,3.1,0.994032671215445,5,"corn"
"US-Ne2_2008","US-Ne2",2008,"soybean",0.176356021067134,-0.0479593911205739,0.312411398769039,0.838275513936322,0.508444295265036,1.38207045257319,0.1,0.9,0.727897641121195,8,"soybean"
"US-Ne2_2009","US-Ne2",2009,"corn",-0.227779889131206,-0.454548710748312,-0.0274498747644716,0.989570692786105,0.87419738608275,1.12017053769648,0.2,3.3,0.972834435640757,11,"corn"
"US-Ne2_2010","US-Ne2",2010,"corn",-0.0221679563844626,-0.530188756670557,0.35835097099998,1.13710994364938,0.851720748111052,1.51812554386395,0.2,2.6,0.955445340338697,6,"corn"
"US-Ne2_2011","US-Ne2",2011,"corn",-0.0961391657381059,-0.370346803848385,0.134488271970587,1.08292031419546,0.910810286054642,1.2875528799494,0,2.8,0.991037368523262,5,"corn"
"US-Ne2_2012","US-Ne2",2012,"corn",-0.141356538392426,-0.473437452192623,0.117695272261863,1.07088268173401,0.835381035684656,1.37277442155237,0,2.6,0.967331991419233,6,"corn"
"US-Ne3_2003","US-Ne3",2003,"corn",-0.514438006231789,-1.92823243248865,0.370327155212785,1.16285616960795,0.727725762340123,1.85816490383263,0.3,2.5,0.877407419167605,6,"corn"
"US-Ne3_2004","US-Ne3",2004,"soybean",0.177794243498836,0.0905484202998522,0.234219877176792,0.380308904824729,0.245962157972452,0.588037055298499,0.1,0.9,0.940088731455967,5,"soybean"
"US-Ne3_2006","US-Ne3",2006,"soybean",0.0642023853256759,-0.250461280757583,0.242745657102944,0.65512826812131,0.371726249427234,1.1545944047614,0.1,1,0.462925653004575,10,"soybean"
"US-Ne3_2007","US-Ne3",2007,"corn",-0.46745946893813,-2.79066715220068,0.6863554043375,1.31739041930881,0.654278423173389,2.65256724877004,0.4,2.5,0.829616862294572,5,"corn"
"US-Ne3_2008","US-Ne3",2008,"soybean",0.0361389529762415,-0.184608674599876,0.189802647774997,1.05343456408006,0.733301866582649,1.51332545486363,0.1,0.8,0.793789784155441,10,"soybean"
"US-Ne3_2009","US-Ne3",2009,"corn",-0.296395881445572,-0.518817001886683,-0.0974851504346694,1.07253084478702,0.959162034366297,1.19929935902807,0.2,3,0.977958724450916,11,"corn"
"US-Ne3_2010","US-Ne3",2010,"soybean",0.131121459082722,-0.13846012124671,0.291456572314241,0.753619544528873,0.448219328849788,1.26710826896589,0.1,0.9,0.704198538493787,8,"soybean"
"US-Ne3_2011","US-Ne3",2011,"corn",-0.183815733564983,-0.387950226337974,-0.0102218396937327,1.11262411723171,0.946164218999003,1.3083695212606,0,2.6,0.979952518911068,7,"corn"
"US-Ne3_2012","US-Ne3",2012,"soybean",0.0514137101803864,-0.0417803998108601,0.128315847140701,0.771753015591923,0.636836985836985,0.935251454173058,0,0.9,0.943766785101254,10,"soybean"
"US-Ro1_2005","US-Ro1",2005,"corn",-0.403500955285595,-0.643109049721952,-0.186010986060954,1.14990001810174,1.04375321767265,1.26684165302864,0.497727272727273,2.73636363636364,0.98584389466197,10,"corn"
"US-Ro1_2006","US-Ro1",2006,"soybean",0.171323939024251,0.0213116000422415,0.28090051974218,0.54658728695458,0.399254930459792,0.74828797208919,0.125151515151515,1.04697674418605,0.897842879815771,8,"soybean"
"US-Ro1_2007","US-Ro1",2007,"corn",-0.057273793628376,-0.125349431804806,0.000905465956225981,0.870909890908381,0.744302866271176,1.01905295875309,0.124736842105263,1.27421052631579,0.992629985497798,5,"corn"
"US-Ro1_2008","US-Ro1",2008,"soybean",0.0318710454067868,-0.107503102095834,0.131690257761206,0.906825850581989,0.649465082080724,1.26616987729224,0.0455434782608696,0.763695652173913,0.912510887498298,7,"soybean"
"US-Ro1_2009","US-Ro1",2009,"corn",-0.16347957998271,-0.376475774674292,0.0267780001419655,1.05744066906849,0.944552568714689,1.183820578797,0.222093023255814,2.65837209302326,0.987173390675908,8,"corn"
"US-Ro1_2010","US-Ro1",2010,"rye",0.106577774964003,-0.0140685467857656,0.198022080250833,0.516124451728949,0.391198349401728,0.680944717890294,0.262307692307692,1.07512820512821,0.921044617072045,8,"other"
"US-Ro1_2011","US-Ro1",2011,"corn",-0.166476134416516,-0.279190292098108,-0.0622739270876402,1.18371263743339,1.09432099924913,1.28040639719143,0.0740909090909091,2.45227272727273,0.990705161358791,10,"corn"
"US-Ro3_2004","US-Ro3",2004,"soybean",NA,0.70616188763472,1.69648162903864,NA,-2.43196332166454,-0.494755641745898,0.363392857142857,0.616470588235294,0.0238459551684666,9,"soybean"
"US-Ro3_2005","US-Ro3",2005,"corn",-0.593899893315415,-1.03093375693911,-0.228350511414782,1.32270841662046,1.10635647343497,1.58136875176103,0.433026315789474,2.62828947368421,0.959635906174599,9,"corn"
"US-Ro3_2006","US-Ro3",2006,"soybean",0.413753292805549,0.322000770357223,0.47509189925188,0.442102800697547,0.295555576862537,0.661313477686539,0.108461538461538,0.739777777777778,0.742574993568559,10,"soybean"
"US-Ro3_2007","US-Ro3",2007,"corn",0.0329761169990178,-0.0195946912333855,0.0790425258616701,0.651448739527049,0.570847300947814,0.743430790557733,0.0915,2.12833333333333,0.994802708334528,5,"corn"
"US-Shd_1998","US-Shd",1998,"grass",-0.18710451848031,-0.336358218712452,-0.0744690292452944,1.2349093442512,0.931934135865875,1.63638290500222,0.09,0.69,0.731397636480815,17,"grass"
"US-Shd_1999","US-Shd",1999,"grass",0.0202797069103438,-0.0489016866020924,0.0750033298534622,0.640906720833624,0.506967783560257,0.810231809850076,0,0.5933,0.757228717802061,21,"grass"
"US-Tw3_2014","US-Tw3",2014,"alfafa",0.15815211910351,0.0665602957307146,0.219867275072512,0.677830426169403,0.456726473293523,1.00597209381756,0.02,0.5965,0.373110454179023,19,"other"
"US-Tw3_2015","US-Tw3",2015,"alfafa",0.13087485077023,0.075413131118667,0.175382293011758,0.81352108161365,0.65284204636384,1.01374682270541,0.05,0.5735,0.888276096506724,13,"other"
"US-Twt_2012","US-Twt",2012,"rice",0.040334412530746,-0.0788305101341932,0.133011954545337,0.58509984849076,0.455046792114336,0.752322263636336,0.338,0.934,0.820243001634824,15,"other"
"US-Twt_2013","US-Twt",2013,"rice",0.0380316207894104,-0.0289895107096638,0.0930032456086566,0.544444937026508,0.44656098969879,0.663784558641668,0.154,0.892,0.889150538395826,15,"other"
"US-Twt_2014","US-Twt",2014,"rice",0.00606410681523034,-0.0451333543746353,0.0512059624357022,0.67733617644596,0.59722125224636,0.768198208280067,0.115,0.784,0.951519571292357,16,"other"
"US-Twt_2015","US-Twt",2015,"rice",-0.120200797429351,-0.491183680561517,0.129603547878886,1.19380476801554,0.803858161816409,1.77291205318648,0.1095,0.85217,0.914522648117426,6,"other"
"US-Var_2002","US-Var",2002,"grass",NA,0.3479024487773,0.480959042847801,NA,0.301529398318312,0.799609609042868,0.0266,0.55,0.0841634348032265,18,"grass"
