SITE_ID,YEAR,HEIGHTC,HEIGHTC_RANGE_LOWER,HEIGHTC_RANGE_UPPER,HEIGHTC_COMMENT
US-WCr,2014,18.4,NA,28.3,NA
US-Whs,2008,0.9,NA,NA,Cavanaugh_et_al-2011-Ecohydrology
US-Wi0,2002,4,NA,NA,NA
US-Wi1,2003,6,NA,NA,NA
US-Wi2,2003,6,NA,NA,NA
US-Wi3,2004,21,NA,NA,NA
US-Wi4,2005,18,NA,NA,NA
US-Wi5,2004,4,NA,NA,NA
US-Wi6,2002,0.5,NA,NA,NA
US-Wi8,2002,1.5,NA,NA,NA
US-Wi9,2004,2.3,NA,NA,NA
US-Wi9,2005,2.3,NA,NA,NA
US-Wjs,2011,3.7,NA,NA,Krofcheck_et-al_2016_remotesensing
US-Wrc,2000,52,NA,NA,"Ishii, et al. 2000 Canadian journal of forest research"
