SITE_ID,HEIGHTC_DATE,HEIGHTC,VEG_CROP,HEIGHTC_SPATIAL_VARIABILITY,HEIGHTC_SPATIAL_REP_NUMBER
US-Br1,05/29/2014,0.0425,soybean,NA,NA
US-Br1,06/06/2014,0.1,soybean,NA,NA
US-Br1,06/11/2014,0.14,soybean,NA,NA
US-Br1,06/13/2014,0.1417,soybean,NA,NA
US-Br1,06/20/2014,0.2193,soybean,NA,NA
US-Br1,06/25/2014,0.3,soybean,NA,NA
US-Br1,06/26/2014,0.2958,soybean,NA,NA
US-Br1,07/02/2014,0.4,soybean,NA,NA
US-Br1,07/07/2014,0.425,soybean,NA,NA
US-Br1,07/10/2014,0.4786,soybean,NA,NA
US-Br1,07/16/2014,0.65,soybean,NA,NA
US-Br1,07/18/2014,0.58,soybean,NA,NA
US-Br1,07/19/2014,0.7292,soybean,NA,NA
US-Br1,07/23/2014,0.775,soybean,NA,NA
US-Br1,07/30/2014,0.8583,soybean,NA,NA
US-Br1,07/31/2014,0.8078,soybean,NA,NA
US-Br1,08/01/2014,0.73,soybean,NA,NA
US-Br1,08/05/2014,0.8,soybean,NA,NA
US-Br1,08/13/2014,0.9175,soybean,NA,NA
US-Br1,08/14/2014,0.91,soybean,NA,NA
US-Br1,08/19/2014,0.9158,soybean,NA,NA
US-Br1,08/22/2014,0.9,soybean,NA,NA
US-Br1,08/25/2014,0.9,soybean,NA,NA
US-Br1,09/02/2014,0.9264,soybean,NA,NA
US-Br1,05/12/2015,0.094,corn,NA,NA
US-Br1,05/22/2015,0.127,corn,NA,NA
US-Br1,06/01/2015,0.222,corn,NA,NA
US-Br1,06/10/2015,0.55,corn,NA,NA
US-Br1,06/19/2015,0.995,corn,NA,NA
US-Br1,06/29/2015,1.755,corn,NA,NA
US-Br1,07/03/2015,2.108,corn,NA,NA
US-Br1,07/14/2015,2.831,corn,NA,NA
US-Br1,07/23/2015,3.059,corn,NA,NA
US-Br1,07/31/2015,3.007,corn,NA,NA
US-Br1,08/03/2015,3.054,corn,NA,NA
US-Br3,04/21/2010,0,corn,NA,NA
