"case","site","year","crop","incpt","incpt.025","incpt.975","slope","slope.025","slope.975","rng.l","rng.u","rsqur","n","crop2"
"CA-ER1_2012","CA-ER1",2012,"hay",-0.082140587142281,-0.146215132227826,-0.0277516695834655,1.03050796527249,0.874734462680599,1.21402175379686,0.15,0.75,0.938463761789476,13,"other"
"CA-ER1_2013","CA-ER1",2013,"hay",-0.022695906207899,-0.0726885420070523,0.0223666348153718,0.706480831168964,0.636810220701445,0.783773797253781,0,1.3595,0.964280957049998,17,"other"
"CA-ER1_2014","CA-ER1",2014,"hay",0.030276392441486,-0.0209134929117762,0.0687930582544231,0.629449016355781,0.473614606517429,0.836557949731814,0.005,0.395,0.402152447814991,32,"other"
"CA-ER2_2012","CA-ER2",2012,"corn",-0.0636268491486669,-0.531571805876321,0.242487921643863,0.881994919494933,0.576973143400076,1.34826906055047,0,2.29,0.614907195744404,12,"corn"
"CA-ER2_2013","CA-ER2",2013,"corn",-0.0201977187535729,-0.161179420061985,0.109050913666505,0.870434439908708,0.797993356055664,0.949451656996421,0.07,2.676,0.951456081235365,29,"corn"
"CA-ER2_2014","CA-ER2",2014,"corn",0.240609107722758,0.0140298791681541,0.438587207121224,0.896770237881736,0.783570799607303,1.02632316052806,0,3.0235,0.915798240166807,22,"corn"
"US-Br1_2010","US-Br1",2010,"soybean",0.00449884745985132,-0.0589425824228762,0.0545288898653663,0.586031270379049,0.462145468067453,0.74312672868612,0,0.9135,0.913538460407855,10,"soybean"
"US-Br1_2011","US-Br1",2011,"corn",0.0214857283093191,-0.0665651932581413,0.0997582212983015,1.08707549108734,0.966351143632703,1.22288169379137,0,2.635,0.989465694217485,7,"corn"
"US-Br1_2012","US-Br1",2012,"soybean",-0.0997814458327806,-0.422287864036826,0.103666685808663,0.982685967913607,0.619912078883951,1.55775592124747,0,1.1858,0.771815487913574,8,"soybean"
"US-Br1_2013","US-Br1",2013,"corn",0.0953469987211584,-0.068898519682957,0.239406506322907,0.843244683944806,0.739608697620556,0.961402427106089,0,2.6055,0.942895220657934,17,"corn"
"US-Br1_2014","US-Br1",2014,"soybean",-0.0414688436572171,-0.0937325494668507,0.00305288599409148,0.638394844712742,0.543827542398474,0.749406651892572,0.0425,0.9264,0.914402639529855,17,"soybean"
"US-Br1_2015","US-Br1",2015,"corn",-0.132344386807548,-0.52886530911301,0.189268356631483,1.05194735508898,0.853220235786126,1.29696084488563,0.094,3.059,0.921763879277831,11,"corn"
"US-Br3_2010","US-Br3",2010,"corn",0.209553932851602,-0.621715430135634,0.729654903846043,1.54106181871754,0.964197387712168,2.46305534465724,0,2.16,0.763007040226737,8,"corn"
"US-Br3_2011","US-Br3",2011,"soybean",0.040851584769078,-0.0248610580503216,0.0940673539376826,0.493955680874839,0.400017871221521,0.609953285145624,0,1.026,0.932063170596308,10,"soybean"
"US-Br3_2012","US-Br3",2012,"corn",0.400377391726634,0.00143172145431869,0.685732224399186,0.770332799057195,0.550997800846164,1.07697820280225,0.13,3.0178,0.883201583064983,8,"corn"
"US-Br3_2013","US-Br3",2013,"soybean",0.0147310844884165,-0.033985773596805,0.0580918444680498,0.946776484282667,0.842684637369819,1.06372618111141,0.05,0.805,0.958528215949881,16,"soybean"
"US-Br3_2014","US-Br3",2014,"corn",0.254402026686693,-0.195668825614562,0.583446157031351,0.794592857510459,0.580922124684938,1.08685447218776,0,2.9,0.665360859996354,17,"corn"
"US-Br3_2015","US-Br3",2015,"soybean",0.0224342804548885,-0.0337535263167837,0.070575545955436,0.777368595149006,0.666043223273192,0.907301375658726,0.063,0.738,0.926715885371084,16,"soybean"
"US-CRT_2011","US-CRT",2011,"soybean",0.0623136174034139,-0.00419741023318643,0.119543704265626,1.23481286224643,1.0625072243817,1.43506111749641,0,1.125,0.982780399671645,7,"soybean"
"US-CRT_2012","US-CRT",2012,"soybean",0.221773333698206,0.0567434708825142,0.346208702226197,1.12791609548553,0.850468228087556,1.49587565583267,0,1.125,0.876852907574765,10,"soybean"
"US-CRT_2013","US-CRT",2013,"wheat",0.0889736399871424,-0.145854858554679,0.249545071093391,1.08811426625987,0.744032628175054,1.59131819170663,0.18,1.14,0.810231390821546,9,"other"
"US-IB1_2006","US-IB1",2006,"corn",0.197417967060391,-0.413245279725465,0.64314520691147,1.01368047584033,0.739892244973578,1.38878075027882,0.23,2.7,0.969655702198328,5,"corn"
"US-IB1_2009","US-IB1",2009,"soybean",-0.152950978760377,-0.701404974969101,0.0735379726470216,0.414854260060367,0.17131775317069,1.00458973985469,0.58,1.68,0.701240620461266,5,"soybean"
"US-IB1_2010","US-IB1",2010,"corn",-0.0555391757049812,-0.777046835089881,0.482171137832607,1.06284719963495,0.792096789998705,1.42614410768374,0.5,2.88,0.973646350377136,5,"corn"
"US-IB2_2005","US-IB2",2005,"prairie",-0.527495756869472,-1.51680196924474,0.0463728661623787,1.33979161292178,0.777175315831732,2.30969966427008,0.64,1.44,0.672210628780827,8,"grass"
"US-IB2_2006","US-IB2",2006,"prairie",-0.277040453124211,-2.27293394684909,0.690298449600899,1.08190515502034,0.524361118867534,2.23227604477531,0.87,2.68,0.676722182598612,6,"grass"
"US-IB2_2007","US-IB2",2007,"prairie",-0.184586500155041,-0.498505596211362,0.0563886542606199,0.906712635523079,0.696023975924687,1.1811774189603,0.33,1.76,0.928274512261627,8,"grass"
"US-IB2_2009","US-IB2",2009,"prairie",0.209549050667713,-0.0910933773052417,0.418613825247163,0.671569134977914,0.467004776289606,0.965739808141275,0.6,1.7,0.959158904092401,5,"grass"
"US-IB2_2010","US-IB2",2010,"prairie",0.19150229781188,-1.53162518685216,0.698708176998441,0.669255319545387,0.196996586597006,2.27365707435362,0.44,1.22,0.287005090171233,5,"grass"
"US-IB2_2011","US-IB2",2011,"prairie",-0.163237657750345,-0.849831051945877,0.289438401391667,1.12707253054636,0.743087183489044,1.70947974522683,0.37,1.53,0.769899693710638,9,"grass"
"US-KL1_2013","US-KL1",2013,"corn",1.08526185943246,0.801925490831068,1.30544896480283,0.827445645909518,0.643026740702125,1.06475555928985,0.01,2.86,0.869189346812691,12,"corn"
"US-KL2_2013","US-KL2",2013,"switchgrass",0.141608011420162,-0.507867048793252,0.530342436940017,1.23647260928935,0.740073790185557,2.06582712939949,0.1,1.18,0.347388197075333,13,"grass"
"US-KL3_2013","US-KL3",2013,"prairie",0.157504682404489,-0.239577156270199,0.440799562941774,0.981983687411403,0.700588453864509,1.37640287535853,0.1,1.6,0.731128463797023,13,"grass"
"US-KM1_2013","US-KM1",2013,"corn",0.396759627828856,0.242711332275538,0.526040668406707,0.727392800268687,0.610445560528943,0.86674442422722,0.01,2.74,0.937481165806864,12,"corn"
"US-KM2_2013","US-KM2",2013,"prairie",0.00615055317518132,-0.243635567105195,0.210538127858679,1.6000165413098,1.30921405867033,1.95541203939181,0.05,1.75,0.91786320475702,12,"grass"
"US-KM3_2013","US-KM3",2013,"switchgrass",0.172007152931534,0.0149166620586625,0.307828899457284,1.0242861614393,0.885606344571342,1.18468227666534,0.05,1.72,0.951602961810551,13,"grass"
"US-KM4_2013","US-KM4",2013,"prairie",0.311532312058771,-0.171282708600036,0.607092920012911,1.02768870092403,0.629111117583385,1.67878779517346,0.1,1,0.407775462385795,13,"grass"
"US-Ne1_2002","US-Ne1",2002,"corn",-0.323643850548942,-0.808016517439146,0.0445169059010677,0.863155431387558,0.656065005884428,1.1356150565133,0.1,3.3,0.903394103097987,9,"corn"
"US-Ne1_2003","US-Ne1",2003,"corn",-0.345949963222262,-1.33009402038652,0.251049843360292,0.792781108028195,0.480915537425369,1.30688621251699,0.2,2.8,0.79466176878372,7,"corn"
